image,trivy_count,clair_count,both,only_trivy,only_clair,union,jaccard
docker.io_library_nginx_1.27,30,116,29,1,87,117,0.248
localhost_5001_docker_kafka-setup-topics_2024.10.17-2_sha256_c46ca0439de47b3cea09bea542e97b34afd8442c571c394143c685d81a3e65ae,157,192,125,32,67,224,0.558
localhost_5001_itdev_ibe-tool-liquibase_local_sha256_952eeb57eca15b4f66ae200951dc599097bed1790223151be47c9881c00d64eb,23,82,23,0,59,82,0.28
localhost_5001_plat_bscjs_latest_sha256_5e88464151cedc46727eb027478ed7d0f399341061f09d9c59ac63b5fc786469,18,72,15,3,57,75,0.2
localhost_5001_security_tool-service-authentication-admin-realm_2025.7.16-feature.plj293.dev.2_sha256_f42dd7e95975b1a83c13730e9e574cb62f41e3a1b16faf34dbf6b4f195fe762f,14,42,13,1,29,43,0.302
localhost_5001_security_tool-service-authentication-admin-realm_2025.7.21-feature.plj292.dev.9_sha256_3666c3442acef3b70ae90a18c46bad0f50dced8d731497631842c45cdcfe218b,14,42,13,1,29,43,0.302
localhost_5001_security_tool-service-authentication-admin-realm_2025.8.1-175_sha256_7d19b2e4ad6a6e96a39d60d60bb5badaf9ad245739f10d42c9b20eeef0bd1077,13,41,12,1,29,42,0.286
localhost_5001_security_tool-service-authentication-admin-realm_2025.8.7-177_sha256_75c28437c9abf660a848e0e31140ccc5f886e8b8f331136cb1f764765c67ab8c,13,41,12,1,29,42,0.286
localhost_5001_security_tool-service-authentication-admin-realm_2025.9.10-198_sha256_71dd26deaf85e364a9940171d8feacd25acf7900e027145c9202d8e41f0074f0,12,40,11,1,29,41,0.268
quay.io_projectquay_clair_4.8.0,39,115,31,8,84,123,0.252
